Row,Id,Collection,Type,Genus,Family,Year_Early,Year_Late,Year_Uncertainty,Country,City,Location_Uncertainty,Year_Range
0,18939,10683/14558,Ophicleide,Unknown,Unknown,0,0,2,Unknown,Unknown,2,0
1,19064,10683/14558,Mouthpiece,Unknown,Unknown,0,0,2,England,London,2,0
2,18181,10683/14558,Cornet,Unknown,Unknown,0,0,2,England,London,2,0
3,176934,10683/14558,Panpipe,Flutes,Wind,1988,1988,0,Unknown,Unknown,0,0
4,176936,10683/14558,Panpipe,Flutes,Wind,1988,1988,0,Unknown,Unknown,0,0
5,176937,10683/14558,Unknown,Unknown,Unknown,1610,1610,0,Italy,Venice,0,0
6,176942,10683/14558,Bagpipe,Bagpipes,Wind,1770,1825,1,Unknown,Unknown,1,55
7,176945,10683/14558,Unknown,Unknown,Unknown,0,0,2,Unknown,Unknown,1,0
8,176950,10683/14558,Unknown,Unknown,Unknown,1801,1835,1,Unknown,Unknown,1,34
9,176953,10683/14558,Unknown,Unknown,Unknown,1830,1840,1,Scotland,Edinburgh,0,10
10,176956,10683/14558,Unknown,Unknown,Unknown,0,0,2,Unknown,Unknown,2,0
11,176959,10683/14558,Unknown,Unknown,Unknown,1901,1935,1,Unknown,Unknown,1,34
12,176962,10683/14558,Unknown,Unknown,Unknown,1901,2000,1,Unknown,Unknown,2,99
13,176963,10683/14558,Double flageolet,Flutes,Wind,0,0,2,France,Paris,0,0
14,176968,10683/14558,Unknown,Unknown,Unknown,0,0,2,England,London,0,0
15,176951,10683/14558,Valve horn,Horns,Wind,0,0,2,England,London,0,0
16,176948,10683/14558,Valve horn,Horns,Wind,1879,1879,0,England,London,0,0
17,176973,10683/14558,Valve trumpet,Trumpets,Wind,1835,1845,1,Unknown,Unknown,1,10
18,176969,10683/14558,Ballad horn,Saxhorns,Wind,0,0,2,England,London,0,0
19,176970,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,England,London,0,0
20,176971,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,2,0
21,176983,10683/14558,Unknown,Unknown,Unknown,0,0,2,Unknown,Unknown,2,0
22,176984,10683/14558,Unknown,Unknown,Unknown,0,0,2,Unknown,Unknown,2,0
23,176977,10683/14558,Flicorno,Saxhorns,Wind,1865,1875,1,Italy,Milan,0,10
24,176978,10683/14558,Clarinet,Clarinets,Wind,1909,1909,0,France,Paris,0,0
25,176979,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,1833,1867,1,Unknown,Unknown,2,34
26,176980,10683/14558,Clarinet,Clarinets,Wind,1924,1934,1,France,Paris,0,10
27,176981,10683/14558,Cornopean,Cornets,Wind,1830,1846,1,England,Birmingham,0,16
28,176982,10683/14558,Clarinet,Clarinets,Wind,1929,1929,0,France,Paris,0,0
29,176985,10683/14558,Valve trumpet,Trumpets,Wind,0,0,2,England,London,0,0
30,176992,10683/14558,Naturhorn,Horns,Wind,1755,1765,1,England,London,0,10
31,176993,10683/14558,Clarinet,Clarinets,Wind,1937,1937,0,Germany,Unknown,0,0
32,176994,10683/14558,Naturhorn,Horns,Wind,1755,1765,1,England,London,0,10
33,176995,10683/14558,Clarinet,Clarinets,Wind,1900,1950,1,Italy,Unknown,0,50
34,176996,10683/14558,Piccolo flute,Flutes,Wind,1866,1900,1,Unknown,Unknown,2,34
35,177010,10683/14558,Unknown,Unknown,Unknown,1866,1900,1,Scotland,Edinburgh,0,34
36,177012,10683/14558,Unknown,Unknown,Unknown,1866,1900,1,Scotland,Edinburgh,0,34
37,176997,10683/14558,Alto saxhorn,Saxhorns,Wind,0,0,2,Unknown,Unknown,2,0
38,176998,10683/14558,Side drum,Drums,Percussion,0,0,2,Unknown,Unknown,1,0
39,177016,10683/14558,Unknown,Unknown,Unknown,1840,1850,1,Scotland,Edinburgh,0,10
40,177019,10683/14558,Unknown,Unknown,Unknown,0,0,2,Unknown,Unknown,1,0
41,177022,10683/14558,Unknown,Unknown,Unknown,1701,1800,1,Unknown,Unknown,1,99
42,177014,10683/14558,Transverse flute,Flutes,Wind,0,0,2,England,London,0,0
43,177015,10683/14558,Unknown,Unknown,Unknown,1688,1730,1,England,London,0,42
44,177025,10683/14558,Unknown,Unknown,Unknown,1701,1800,1,Unknown,Unknown,1,99
45,177026,10683/14558,Transverse flute,Flutes,Wind,1901,1935,1,Unknown,Unknown,2,34
46,177027,10683/14558,Practice chanter,Oboes,Wind,1925,1935,1,Scotland,Edinburgh,0,10
47,177029,10683/14558,Unknown,Unknown,Unknown,0,0,2,Unknown,Unknown,1,0
48,177030,10683/14558,Unknown,Unknown,Unknown,0,0,2,Unknown,Unknown,2,0
49,177031,10683/14558,Unknown,Unknown,Unknown,1701,1800,1,Unknown,Unknown,1,99
50,177032,10683/14558,Unknown,Unknown,Unknown,0,0,2,Unknown,Unknown,2,0
51,177033,10683/14558,Bass trombone,Trombones,Wind,1902,1912,1,England,London,0,10
52,177034,10683/14558,Cornopean,Cornets,Wind,0,0,2,England,London,0,0
53,177035,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,England,London,0,0
54,177036,10683/14558,Cornet,Cornets,Wind,0,0,2,France,Paris,0,0
55,177048,10683/14558,Russian bassoon,Serpents,Wind,1810,1820,1,France,Unknown,0,10
56,177041,10683/14558,Great bass clarinet,Clarinets,Wind,1930,1940,1,France,Paris,0,10
57,177042,10683/14558,Bugle,Bugles,Wind,0,0,2,England,London,0,0
58,177049,10683/14558,Clarinet,Clarinets,Wind,1885,1895,1,United States of America,Unknown,0,10
59,177050,10683/14558,Clarinet,Clarinets,Wind,1930,1940,1,France,Unknown,0,10
60,177057,10683/14558,Alto saxhorn,Saxhorns,Wind,1905,1915,1,England,London,0,10
61,177058,10683/14558,Transverse flute,Flutes,Wind,1801,1835,1,England,London,0,34
62,177059,10683/14558,Slide trumpet,Trumpets,Wind,1865,1875,1,England,London,0,10
63,177060,10683/14558,Transverse flute,Flutes,Wind,1881,1881,0,England,London,0,0
64,177061,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,1,0
65,177062,10683/14558,Clarinet,Clarinets,Wind,0,0,2,Unknown,Unknown,1,0
66,177064,10683/14558,Unknown,Unknown,Unknown,1970,1980,1,Japan,Unknown,0,10
67,177065,10683/14558,Reed organ,Harmoniums,Keyboard,1909,1909,0,Unknown,Unknown,1,0
68,177066,10683/14558,Clarinet,Clarinets,Wind,1920,1930,1,Germany,Unknown,0,10
69,177067,10683/14558,Cornet,Cornets,Wind,1888,1889,1,France,Paris,0,1
70,177068,10683/14558,Clarinet,Clarinets,Wind,1929,1929,0,France,Paris,0,0
71,177073,10683/14558,Bow,Bows,Bows,0,0,2,England,Unknown,0,0
72,177074,10683/14558,Tenor trombone,Trombones,Wind,1872,1878,1,France,Paris,0,6
73,177079,10683/14558,Dilruba,Fiddles,Strings,0,0,2,India,Unknown,0,0
74,177080,10683/14558,Clarinet,Clarinets,Wind,1829,1839,1,England,London,0,10
75,177081,10683/14558,Side drum,Drums,Percussion,1933,1936,1,England,London,0,3
76,177085,10683/14558,Baritone saxhorn,Saxhorns,Wind,1857,1862,1,England,Unknown,0,5
77,177086,10683/14558,Alto trombone,Trombones,Wind,1872,1878,1,France,Paris,0,6
78,177087,10683/14558,Valve trumpet,Trumpets,Wind,1839,1852,1,England,Birmingham,0,13
79,177088,10683/14558,Clarinet,Clarinets,Wind,1845,1855,1,Unknown,Unknown,1,10
80,177089,10683/14558,Keyed bugle,Bugles,Wind,0,0,2,England,London,0,0
81,177090,10683/14558,Clarinet,Clarinets,Wind,1885,1895,1,Unknown,Unknown,0,10
82,177091,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,1,0
83,177092,10683/14558,Clarinet,Clarinets,Wind,1885,1895,1,Unknown,Unknown,0,10
84,177093,10683/14558,Valve trumpet,Trumpets,Wind,0,0,2,France,Paris,0,0
85,177094,10683/14558,Clarinet,Clarinets,Wind,1897,1907,1,United States of America,Elkhart,0,10
86,177096,10683/14558,Tenor trombone,Trombones,Wind,0,0,2,Belgium,Brussels,0,0
87,177097,10683/14558,Clarinet,Clarinets,Wind,1900,1910,1,United States of America,Elkhart,0,10
88,177095,10683/14558,Shawm,Oboes,Wind,1970,1980,1,Western Malaysia,Unknown,0,10
89,177098,10683/14558,Clarinet,Clarinets,Wind,1880,1930,1,France,Unknown,0,50
90,177099,10683/14558,Clarinet,Clarinets,Wind,1878,1908,1,Germany,Wohlhausen,0,30
91,177100,10683/14558,Concertina,Accordions,Wind,1895,1905,1,England,London,0,10
92,177101,10683/14558,Machete,Guitars,Strings,0,0,2,Unknown,Unknown,0,0
93,177102,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,England,Luton,0,0
94,177103,10683/14558,Alto trombone,Trombones,Wind,1895,1905,1,England,London,0,10
95,177104,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,England,Luton,0,0
96,177105,10683/14558,Transverse flute,Flutes,Wind,1866,1900,1,Unknown,Unknown,2,34
97,177106,10683/14558,Oboe,Oboes,Wind,1895,1905,1,England,London,0,10
98,177107,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,United States of America,Elkhart,0,0
99,177108,10683/14558,Piccolo flute,Flutes,Wind,1901,1935,1,Unknown,Unknown,2,34
100,177119,10683/14558,Unknown,Unknown,Unknown,0,0,2,Unknown,Unknown,2,0
101,177120,10683/14558,Clarinet,Clarinets,Wind,1929,1930,1,England,London,0,1
102,177124,10683/14558,Oboe,Oboes,Wind,1865,1875,1,Unknown,Unknown,1,10
103,177125,10683/14558,Unknown,Unknown,Unknown,0,0,2,Unknown,Unknown,1,0
104,177117,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,2,0
105,177118,10683/14558,Clarinet,Clarinets,Wind,1830,1870,1,Unknown,Unknown,2,40
106,177126,10683/14558,Clarinet,Clarinets,Wind,1821,1831,1,England,London,0,10
107,177127,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,England,London,0,0
108,177128,10683/14558,Clarinet,Clarinets,Wind,1895,1905,1,Unknown,Unknown,0,10
109,177129,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,1,0
110,177130,10683/14558,Clarinet,Clarinets,Wind,1895,1920,1,England,Aldershot,0,25
111,177131,10683/14558,Transverse flute,Flutes,Wind,0,0,2,Unknown,Unknown,2,0
112,177137,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,England,London,0,0
113,177133,10683/14558,Transverse flute,Flutes,Wind,1833,1867,1,Unknown,Unknown,2,34
114,177134,10683/14558,Alto clarinet,Clarinets,Wind,1885,1950,1,France,Paris,0,65
115,177151,10683/14558,Clarinet,Clarinets,Wind,1895,1910,1,Belgium,Brussels,0,15
116,177152,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,England,Birmingham,0,0
117,177175,10683/14558,Clarinet,Clarinets,Wind,1845,1855,1,England,London,0,10
118,177176,10683/14558,Baritone saxhorn,Saxhorns,Wind,0,0,2,Unknown,Unknown,2,0
119,177177,10683/14558,Bass trombone,Trombones,Wind,1951,1951,0,England,London,0,0
120,177178,10683/14558,Clarinet,Clarinets,Wind,1865,1920,1,England,London,0,55
121,177179,10683/14558,Reed organ,Harmoniums,Keyboard,0,0,2,United States of America,Chicago,0,0
122,177180,10683/14558,Clarinet,Clarinets,Wind,1879,1889,1,Belgium,Brussels,0,10
123,177181,10683/14558,Upright pianoforte,Pianofortes,Keyboard,1836,1846,1,England,London,0,10
124,177182,10683/14558,Clarinet,Clarinets,Wind,1850,1900,1,Unknown,Unknown,2,50
125,177183,10683/14558,Bass trombone,Trombones,Wind,1864,1874,1,France,Paris,0,10
126,177184,10683/14558,Oboe,Oboes,Wind,1885,1895,1,Italy,Unknown,0,10
127,177185,10683/14558,Upright pianoforte,Pianofortes,Keyboard,1860,1870,1,England,London,0,10
128,177186,10683/14558,Cornet,Cornets,Wind,1903,1913,1,England,London,0,10
129,177187,10683/14558,Clarinet,Clarinets,Wind,1850,1900,1,Unknown,Unknown,0,50
130,177188,10683/14558,Clarinet,Clarinets,Wind,1925,1935,1,France,Paris,0,10
131,177189,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,0,0
132,177190,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,1,0
133,177191,10683/14558,Clarinet,Clarinets,Wind,1843,1888,1,United States of America,Philadelphia,0,45
134,177193,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Belgium,Brussels,0,0
135,177194,10683/14558,Natural trumpet,Trumpets,Wind,1794,1794,0,Austria,Vienna,0,0
136,177192,10683/14558,Unknown,Unknown,Unknown,0,0,2,Unknown,Unknown,2,0
137,177195,10683/14558,Clarinet,Clarinets,Wind,1895,1905,1,Belgium,Brussels,0,10
138,177198,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,1,0
139,177199,10683/14558,Soprano flugelhorn,Flugelhorns,Wind,0,0,2,England,London,0,0
140,177196,10683/14558,Unknown,Unknown,Unknown,1905,1915,1,Unknown,Unknown,0,10
141,177197,10683/14558,Unknown,Unknown,Unknown,0,0,2,Unknown,Unknown,2,0
142,177202,10683/14558,Bow,Bows,Bows,0,0,2,Unknown,Unknown,2,0
143,177200,10683/14558,Clarinet,Clarinets,Wind,1845,1855,1,Unknown,Unknown,2,10
144,177201,10683/14558,Piccolo flute,Flutes,Wind,1866,1900,1,England,London,0,34
145,177203,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,1833,1867,1,Unknown,Unknown,2,34
146,177206,10683/14558,Piccolo flute,Flutes,Wind,1901,1935,1,Unknown,Unknown,2,34
147,177207,10683/14558,Xylophone,Xylophones,Percussion,1935,1945,1,Unknown,Unknown,0,10
148,177208,10683/14558,Reed horn,Hunting horns,Wind,1989,1989,0,Finland,Unknown,0,0
149,177209,10683/14558,Clarinet,Clarinets,Wind,1875,1885,1,France,Paris,0,10
150,177210,10683/14558,Transverse flute,Flutes,Wind,1865,1913,1,Unknown,Unknown,0,48
151,177211,10683/14558,Transverse flute,Flutes,Wind,1801,1900,1,England,London,0,99
152,177212,10683/14558,Lamellaphone,Lamellaphones/Sanzas,Percussion,1934,1968,1,Unknown,Unknown,0,34
153,177213,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,England,London,0,0
154,177218,10683/14558,Unknown,Unknown,Unknown,1895,1905,1,Unknown,Unknown,2,10
155,177214,10683/14558,Clarinet,Clarinets,Wind,0,0,2,Netherlands,Amsterdam,0,0
156,177215,10683/14558,Contralto saxhorn,Saxhorns,Wind,1875,1885,1,Unknown,Unknown,1,10
157,177216,10683/14558,Lute,Lutes,Strings,0,0,2,Italy,Unknown,0,0
158,177217,10683/14558,Clarinet,Clarinets,Wind,1920,1929,1,Belgium,Unknown,0,9
159,177219,10683/14558,Kalimba,Lamellaphones/Sanzas,Percussion,1965,1975,1,South Africa,Unknown,0,10
160,177220,10683/14558,Clarinet,Clarinets,Wind,1855,1880,1,Unknown,Unknown,1,25
161,177226,10683/14558,Bass drum,Drums,Percussion,1934,1968,1,Unknown,Unknown,1,34
162,177221,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,England,London,0,0
163,177222,10683/14558,Bugle,Bugles,Wind,0,0,2,Unknown,Unknown,2,0
164,177227,10683/14558,Chime bar,Metallophones/Steeldrums,Percussion,1935,1935,0,Unknown,Unknown,2,0
165,177223,10683/14558,Bass tuba,Tubas,Wind,0,0,2,England,Unknown,0,0
166,177224,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,1934,1968,1,England,London,0,34
167,177225,10683/14558,Clarinet,Clarinets,Wind,1847,1847,0,France,Unknown,0,0
168,177228,10683/14558,Chime bar,Metallophones/Steeldrums,Percussion,0,0,2,Unknown,Unknown,2,0
169,177229,10683/14558,Kalimba,Lamellaphones/Sanzas,Percussion,1901,1935,1,Unknown,Unknown,1,34
170,177230,10683/14558,Transverse flute,Flutes,Wind,0,0,2,Unknown,Unknown,2,0
171,177231,10683/14558,Kettledrum,Kettledrums,Percussion,1866,1900,1,Unknown,Unknown,1,34
172,177233,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,1960,1970,1,England,London,0,10
173,177232,10683/14558,Bass drum,Drums,Percussion,0,0,2,Unknown,Unknown,1,0
174,177234,10683/14558,Double horn,Horns,Wind,0,0,2,Germany,Unknown,0,0
175,177235,10683/14558,Tenor trombone,Trombones,Wind,1874,1884,1,England,Unknown,0,10
176,177236,10683/14558,Lyra glockenspiel,Metallophones/Steeldrums,Percussion,0,0,2,England,London,0,0
177,177237,10683/14558,Tenor trombone,Trombones,Wind,0,0,2,England,London,0,0
178,177238,10683/14558,Clarinet,Clarinets,Wind,1844,1844,0,France,Unknown,0,0
179,177240,10683/14558,Alto saxhorn,Saxhorns,Wind,0,0,2,England,London,0,0
180,177239,10683/14558,Euphonium,Tubas,Wind,1870,1908,1,Scotland,Glasgow,0,38
181,177241,10683/14558,Washboard,Scrapers,Percussion,1930,1940,1,Unknown,Unknown,2,10
182,177242,10683/14558,Clarinet,Clarinets,Wind,1906,1915,1,Germany,Unknown,0,9
183,177243,10683/14558,Bass drum,Drums,Percussion,1934,1968,1,Great Britain,Unknown,0,34
184,177244,10683/14558,Clarinet,Clarinets,Wind,1905,1920,1,Germany,Unknown,0,15
185,177255,10683/14558,Clarinet,Clarinets,Wind,1825,1835,1,Germany,Unknown,0,10
186,177245,10683/14558,Baritone flugelhorn,Flugelhorns,Wind,0,0,2,Germany,Nuremberg,0,0
187,177246,10683/14558,Oboe,Oboes,Wind,1870,1880,1,Belgium,Brussels,0,10
188,177247,10683/14558,Clarinet,Clarinets,Wind,1815,1825,1,France,Paris,0,10
189,177248,10683/14558,Maracas,Rattles,Percussion,1930,1940,1,Unknown,Unknown,1,10
190,177249,10683/14558,Clarinet,Clarinets,Wind,1865,1874,1,Belgium,Brussels,0,9
191,177250,10683/14558,Banjo,Guitars,Strings,1901,1935,1,Unknown,Unknown,2,34
192,177251,10683/14558,Bass trumpet,Trumpets,Wind,1929,1930,1,United States of America,Elkhart,0,1
193,177252,10683/14558,Clarinet,Clarinets,Wind,1876,1886,1,Italy,Unknown,0,10
194,177253,10683/14558,Tenor trombone,Trombones,Wind,1955,1965,1,France,Unknown,0,10
195,177254,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,1946,1956,1,England,London,0,10
196,177256,10683/14558,Ukulele,Guitars,Strings,1901,1935,1,United States of America,Unknown,0,34
197,177257,10683/14558,Transverse flute,Flutes,Wind,0,0,2,England,London,0,0
198,177258,10683/14558,Clarinet,Clarinets,Wind,1855,1865,1,England,London,0,10
199,177259,10683/14558,Clarinet,Clarinets,Wind,1915,1925,1,United States of America,Elkhart,0,10
200,177260,10683/14558,Neapolitan mandolin,Mandolins,Strings,1866,1900,1,Unknown,Unknown,1,34
201,177261,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,United States of America,Unknown,0,0
202,177262,10683/14558,Panpipe,Flutes,Wind,1988,1988,0,Unknown,Unknown,0,0
203,177263,10683/14558,Clarinet,Clarinets,Wind,0,0,2,Sweden,Stockholm,0,0
204,177264,10683/14558,Transverse flute,Flutes,Wind,1845,1857,1,England,London,0,12
205,177276,10683/14558,Unknown,Unknown,Unknown,1895,1905,1,Unknown,Unknown,2,10
206,177283,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,1934,1968,1,Unknown,Unknown,1,34
207,177292,10683/14558,Unknown,Unknown,Unknown,0,0,2,Unknown,Unknown,2,0
208,177265,10683/14558,Cornet,Cornets,Wind,0,0,2,United States of America,Elkhart,0,0
209,177266,10683/14558,Clarinet,Clarinets,Wind,1935,1935,0,Germany,Berlin,0,0
210,177267,10683/14558,Cornet,Cornets,Wind,0,0,2,France,Paris,0,0
211,177268,10683/14558,Cornet,Cornets,Wind,1924,1924,0,United States of America,Elkhart,0,0
212,177269,10683/14558,Cornet,Cornets,Wind,1872,1878,1,France,Paris,0,6
213,177270,10683/14558,Cornet,Cornets,Wind,0,0,2,France,Paris,0,0
214,177271,10683/14558,Transverse flute,Flutes,Wind,1866,1900,1,Unknown,Unknown,2,34
215,177300,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,2,0
216,177301,10683/14558,Ophicleide,Ophicleides,Wind,1855,1865,1,Unknown,Unknown,1,10
217,177298,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,1,0
218,177299,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,England,Unknown,0,0
219,177302,10683/14558,Valve trumpet,Trumpets,Wind,1920,1930,1,Unknown,Unknown,0,10
220,177303,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,France,Paris,0,0
221,177304,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,2,0
222,177305,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,1,0
223,177306,10683/14558,Oboe,Oboes,Wind,0,0,2,Unknown,Unknown,2,0
224,177307,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,2,0
225,177311,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,2,0
226,177308,10683/14558,Tenor trombone,Trombones,Wind,1794,1794,0,Austria,Vienna,0,0
227,177309,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,England,London,0,0
228,177310,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,0,0
229,177312,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,1,0
230,177313,10683/14558,Tenor trombone,Trombones,Wind,1905,1915,1,Germany,Unknown,0,10
231,177322,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,1,0
232,177327,10683/14558,Bassoon,Bassoons,Wind,0,0,2,Unknown,Unknown,2,0
233,177323,10683/14558,Ndere,Flutes,Wind,0,0,2,Unknown,Unknown,2,0
234,177324,10683/14558,Bagpipe/Practice chanter,Bagpipes,Wind,1833,1867,1,Scotland,Edinburgh,0,34
235,177325,10683/14558,Guitar,Guitars,Strings,1866,1900,1,Italy,Catania,0,34
236,177326,10683/14558,Coach horn,Hunting horns,Wind,0,0,2,Belgium,Brussels,0,0
237,177328,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,1934,1968,1,Unknown,Unknown,2,34
238,177329,10683/14558,Cornet,Cornets,Wind,1915,1925,1,England,London,0,10
239,177330,10683/14558,Banjo,Guitars,Strings,0,0,2,England,Birmingham,0,0
240,177331,10683/14558,Valve trumpet,Trumpets,Wind,1933,1933,0,England,London,0,0
241,177336,10683/14558,Unknown,Unknown,Unknown,1992,1992,0,Unknown,Unknown,0,0
242,177332,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,1,0
243,177333,10683/14558,Bass trombone,Trombones,Wind,1914,1924,1,Belgium,Brussels,0,10
244,177334,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,1833,1867,1,England,London,0,34
245,177335,10683/14558,Natural trumpet,Trumpets,Wind,1895,1905,1,France,Paris,0,10
246,177337,10683/14558,Slide trumpet,Trumpets,Wind,0,0,2,England,Unknown,0,0
247,177342,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,2,0
248,177344,10683/14558,Unknown,Unknown,Unknown,0,0,2,England,London,0,0
249,177338,10683/14558,Valve trumpet,Trumpets,Wind,1933,1938,1,England,London,0,5
250,177339,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,1934,1968,1,Unknown,Unknown,1,34
251,177340,10683/14558,Alto saxhorn,Saxhorns,Wind,0,0,2,France,Paris,0,0
252,177341,10683/14558,Clarinet,Clarinets,Wind,1835,1845,1,England,London,0,10
253,177343,10683/14558,Northumbrian pipe,Bagpipes,Wind,1866,1900,1,Unknown,Unknown,0,34
254,177345,10683/14558,Cornet,Cornets,Wind,1860,1865,1,England,London,0,5
255,177346,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,2,0
256,177350,10683/14558,Bugle,Bugles,Wind,1840,1850,1,England,London,0,10
257,177347,10683/14558,Tenor trombone,Trombones,Wind,1815,1825,1,Unknown,Unknown,1,10
258,177348,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,2,0
259,177349,10683/14558,Contrabass saxhorn,Saxhorns,Wind,1868,1868,0,France,Paris,0,0
260,177351,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,2,0
261,177352,10683/14558,Cornet,Cornets,Wind,1847,1853,1,England,London,0,6
262,177353,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,England,London,0,0
263,177354,10683/14558,Bass drum,Drums,Percussion,1795,1805,1,Unknown,Unknown,1,10
264,177355,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,1862,1872,1,France,Paris,0,10
265,177356,10683/14558,Valve trumpet,Trumpets,Wind,1933,1943,1,England,London,0,10
266,177358,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,England,London,0,0
267,177359,10683/14558,Unknown,Beaters,Beaters,0,0,2,Unknown,Unknown,2,0
268,177357,10683/14558,Bass drum,Drums,Percussion,1803,1813,1,Unknown,Unknown,1,10
269,177360,10683/14558,Valve horn,Horns,Wind,0,0,2,England,London,0,0
270,177361,10683/14558,Unknown,Beaters,Beaters,0,0,2,Unknown,Unknown,2,0
271,177362,10683/14558,Woodblock,Metallophones/Steeldrums,Percussion,0,0,2,China,Unknown,0,0
272,177363,10683/14558,Unknown,Beaters,Beaters,0,0,2,China,Unknown,0,0
273,177364,10683/14558,Unknown,Beaters,Beaters,0,0,2,England,Unknown,0,0
274,177365,10683/14558,Unknown,Beaters,Beaters,0,0,2,Unknown,Unknown,2,0
275,177366,10683/14558,Unknown,Beaters,Beaters,0,0,2,Unknown,Unknown,2,0
276,177367,10683/14558,Unknown,Beaters,Beaters,1901,1935,1,Unknown,Unknown,2,34
277,177368,10683/14558,Natural trumpet,Trumpets,Wind,1934,1968,1,Unknown,Unknown,2,34
278,177369,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,1833,1867,1,Unknown,Unknown,2,34
279,177370,10683/14558,Tuba,Tubas,Wind,1915,1925,1,England,London,0,10
280,177371,10683/14558,Drum,Drums,Percussion,1934,1968,1,Unknown,Unknown,0,34
281,177372,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,2,0
282,177373,10683/14558,Unknown,Beaters,Beaters,0,0,2,England,Cheam,0,0
283,177374,10683/14558,Bass trombone,Trombones,Wind,1960,1960,0,England,London,0,0
284,177375,10683/14558,Bass trombone,Trombones,Wind,1904,1910,1,France,Paris,0,6
285,177376,10683/14558,Contrabass trombone,Trombones,Wind,0,0,2,England,London,0,0
286,177377,10683/14558,Alto trombone,Trombones,Wind,0,0,2,England,London,0,0
287,177378,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,Unknown,Unknown,1,0
288,177379,10683/14558,Valve trumpet,Trumpets,Wind,0,0,2,England,London,0,0
289,177380,10683/14558,Mouthpiece,Mouthpieces,Mouthpieces,0,0,2,England,London,0,0
